Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,Mid Center,-0.049,0.963,-19.675,-0.049,0.964,-19.675,0.002,-0.046,0.970,-19.666,-0.040,0.879,-19.591,0.118,Strike,Take
Sub_Test01,2,Active_Noise,Slider,Mid Center,-0.053,0.934,-19.689,-0.055,0.929,-19.689,0.006,-0.050,0.934,-19.675,-0.055,0.934,-19.675,0.005,Strike_PassedBall,Take
Sub_Test01,3,Active_Noise,TwoSeam,Mid Center,-0.050,0.913,-19.684,-0.048,0.912,-19.684,0.002,-0.046,0.919,-19.679,-0.041,0.920,-19.681,0.006,Strike_PassedBall,Take
Sub_Test01,4,Active_Noise,Knuckle,Low Center,-0.057,0.909,-19.674,-0.171,0.822,-19.674,0.143,-0.035,0.940,-19.667,-0.048,0.944,-19.657,0.017,Strike_Missed,Take
Sub_Test01,5,Active_Noise,OneSeamGyro,Low Center,-0.032,0.909,-19.696,-0.031,0.908,-19.696,0.002,-0.033,0.915,-19.682,-0.047,0.900,-19.679,0.021,Strike_PassedBall,Take
Sub_Test01,6,Active_Noise,Splitter,Low Center,-0.052,0.852,-19.772,-0.053,0.849,-19.772,0.004,-0.038,0.945,-19.659,-0.042,0.964,-19.666,0.021,Strike_PassedBall,Take
Sub_Test01,7,Active_Noise,Shoot,Mid Center,-0.043,0.928,-19.673,-0.043,0.925,-19.673,0.003,-0.041,0.934,-19.672,-0.016,0.922,-19.656,0.033,Strike,Take
Sub_Test01,8,Active_Noise,Straight,Mid Center,-0.060,0.929,-19.712,-0.060,0.930,-19.712,0.001,-0.050,0.942,-19.670,-0.050,0.936,-19.666,0.008,Strike,Take
Sub_Test01,9,Active_Noise,Shoot,Mid Center,-0.058,0.918,-19.695,-0.058,0.916,-19.695,0.003,-0.059,0.924,-19.667,-0.053,0.922,-19.668,0.007,Strike,Take
Sub_Test01,10,Active_Noise,Sweeper,Mid Center,-0.061,0.915,-19.692,-0.068,0.915,-19.692,0.007,-0.066,0.923,-19.673,-0.070,0.925,-19.674,0.005,Strike_PassedBall,Take
