Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.215,1.109,-19.499,-0.442,1.038,-19.499,0.238,-0.222,1.119,-19.465,-0.385,1.096,-19.460,0.165,Ball_PassedBall,Take
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.218,1.133,-19.466,-0.073,1.132,-19.466,0.144,-0.227,1.021,-19.570,-0.124,1.109,-19.442,0.186,Strike,Take
Sub_Test01,3,Active_Noise,Straight,Mid-High Inside Ball,-0.249,1.131,-19.473,-0.232,1.326,-19.473,0.196,-0.221,1.125,-19.452,-0.237,1.286,-19.471,0.164,Strike,Swing
Sub_Test01,4,Active_Noise,Straight,Mid-High Inside Ball,-0.226,1.269,-19.530,-0.257,1.363,-19.530,0.099,-0.222,1.248,-19.550,-0.267,1.356,-19.521,0.120,Ball,CheckSwing
Sub_Test01,5,Active_Noise,Straight,Mid-High Inside Ball,-0.235,1.274,-19.516,-0.329,1.079,-19.516,0.216,-0.195,1.205,-19.542,-0.331,1.197,-19.530,0.136,Ball_PassedBall,Take
Sub_Test01,6,Active_Noise,Straight,High Inside,-0.218,1.165,-19.590,0.004,1.076,-19.590,0.239,-0.221,1.126,-19.547,-0.102,1.046,-19.475,0.160,Strike_PassedBall,Take
Sub_Test01,7,Active_Noise,Straight,Mid-High Inside Ball,-0.256,1.137,-19.502,-0.335,1.043,-19.502,0.123,-0.219,1.101,-19.512,-0.318,1.033,-19.498,0.120,Ball,CheckSwing
Sub_Test01,8,Active_Noise,Straight,Mid Inside,-0.186,1.102,-19.560,-0.047,1.263,-19.560,0.213,-0.220,1.140,-19.488,-0.098,1.219,-19.417,0.162,Strike,Swing
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.207,1.204,-19.505,-0.160,1.096,-19.505,0.118,-0.171,1.020,-19.585,-0.156,1.155,-19.413,0.220,Strike,Swing
Sub_Test01,10,Active_Noise,Straight,High Inside,-0.197,1.209,-19.518,-0.072,1.100,-19.518,0.166,-0.163,1.015,-19.594,-0.096,1.140,-19.424,0.221,Strike,Take
