Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Inside,-0.11,1.25,-19.658,-0.309,1.368,-19.658,0.232,-0.125,1.203,-19.607,-0.244,1.224,-19.58,0.124,Ball_Missed,Take
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.115,1.237,-19.607,-0.302,1.335,-19.607,0.212,-0.133,1.224,-19.598,-0.32,1.278,-19.602,0.194,Ball_Missed,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.139,1.242,-19.588,-0.179,1.168,-19.588,0.084,-0.16,1.215,-19.563,-0.141,1.158,-19.548,0.062,Strike_PassedBall,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.124,1.228,-19.6,-0.071,1.237,-19.6,0.054,-0.16,1.211,-19.575,-0.067,1.144,-19.558,0.116,Strike_PassedBall,Take
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.12,1.228,-19.58,0.026,1.115,-19.58,0.184,-0.166,1.221,-19.574,-0.02,1.155,-19.568,0.16,Strike_PassedBall,Take
Sub_Test01,6,Active_Noise,Straight,High Inside,-0.118,1.23,-19.591,-0.024,1.18,-19.591,0.106,-0.161,1.188,-19.569,0.024,1.067,-19.559,0.221,Strike_PassedBall,Take
Sub_Test01,7,Active_Noise,Straight,High Inside,-0.112,1.22,-19.595,-0.156,1.234,-19.595,0.046,-0.142,1.182,-19.57,-0.155,1.13,-19.544,0.059,Strike_PassedBall,Take
Sub_Test01,8,Active_Noise,Straight,High Inside,-0.134,1.236,-19.591,-0.079,1.427,-19.591,0.199,-0.16,1.21,-19.576,-0.175,1.428,-19.667,0.237,Ball_Missed,Take
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.131,1.262,-19.585,-0.134,1.409,-19.585,0.147,-0.165,1.243,-19.57,-0.244,1.383,-19.652,0.18,Ball_Missed,Take
Sub_Test01,10,Active_Noise,Straight,High Inside,-0.103,1.247,-19.581,-0.056,1.082,-19.581,0.172,-0.145,1.216,-19.569,-0.035,1.111,-19.55,0.153,Strike,Take
Sub_Test01,11,Active_Noise,Straight,High Inside,-0.122,1.232,-19.596,-0.059,1.354,-19.596,0.137,-0.153,1.189,-19.578,-0.057,1.198,-19.579,0.097,Ball_PassedBall,Take
Sub_Test01,12,Active_Noise,Straight,Mid Inside,-0.158,1.085,-19.641,-0.209,1.171,-19.641,0.1,-0.159,1.044,-19.623,-0.239,1.069,-19.596,0.088,Strike_PassedBall,Take
Sub_Test01,13,Active_Noise,Straight,Mid Inside,-0.148,1.06,-19.619,-0.344,1.093,-19.619,0.199,-0.144,1.045,-19.615,-0.416,1.05,-19.574,0.275,Ball_PassedBall,Take
Sub_Test01,14,Active_Noise,Straight,Mid Inside,-0.129,1.038,-19.604,-0.241,1.176,-19.604,0.178,-0.15,1.015,-19.604,-0.289,1.032,-19.541,0.153,Strike_PassedBall,Take
Sub_Test01,15,Active_Noise,Straight,Mid Inside,-0.147,1.055,-19.617,0.042,1.197,-19.617,0.237,-0.156,1.035,-19.607,0.001,1.126,-19.623,0.181,Strike_PassedBall,Take
Sub_Test01,16,Active_Noise,Straight,Mid Inside,-0.154,1.045,-19.596,-0.043,1.048,-19.596,0.111,-0.171,1.013,-19.587,-0.056,1.112,-19.561,0.154,Strike,Take
Sub_Test01,17,Active_Noise,Straight,Mid Inside,-0.149,1.042,-19.587,-0.278,0.837,-19.587,0.242,-0.162,1.023,-19.582,-0.319,0.951,-19.547,0.176,Ball,Take
Sub_Test01,18,Active_Noise,Straight,Mid Inside,-0.166,0.997,-19.588,-0.038,0.784,-19.588,0.248,-0.167,0.982,-19.588,-0.093,0.769,-19.547,0.229,Strike_PassedBall,Take
Sub_Test01,19,Active_Noise,Straight,Mid Inside,-0.161,0.975,-19.579,-0.311,0.985,-19.579,0.151,-0.167,0.958,-19.577,-0.307,0.922,-19.521,0.155,Ball,Take
Sub_Test01,20,Active_Noise,Straight,Mid Inside,-0.196,0.989,-19.594,-0.311,1.202,-19.594,0.242,-0.194,0.956,-19.597,-0.431,1.075,-19.612,0.266,Ball_Missed,Take
Sub_Test01,21,Active_Noise,Straight,Mid Inside,-0.193,1.044,-19.609,-0.354,0.87,-19.609,0.237,-0.193,0.988,-19.597,-0.288,0.896,-19.575,0.135,Ball,Take
Sub_Test01,22,Active_Noise,Straight,Mid Inside,-0.211,1.005,-19.588,-0.145,0.977,-19.588,0.072,-0.215,0.963,-19.592,-0.127,0.87,-19.541,0.138,Strike_PassedBall,Take
Sub_Test01,23,Active_Noise,Straight,Mid Inside,-0.192,0.994,-19.59,-0.155,1.106,-19.59,0.117,-0.201,0.973,-19.588,-0.16,0.682,-19.764,0.343,Strike_Missed,Take
Sub_Test01,24,Active_Noise,Straight,Mid Inside,-0.19,0.989,-19.578,-0.075,1.058,-19.578,0.134,-0.192,0.976,-19.587,-0.153,1.046,-19.544,0.091,Strike,Take
Sub_Test01,25,Active_Noise,Straight,Low Inside,-0.168,0.863,-19.544,-0.011,0.758,-19.544,0.188,-0.164,0.835,-19.548,-0.022,0.739,-19.466,0.19,Strike_PassedBall,Take
Sub_Test01,26,Active_Noise,Straight,Low Inside,-0.158,0.828,-19.552,-0.029,0.932,-19.552,0.165,-0.152,0.847,-19.587,0.006,0.77,-19.551,0.18,Strike,Take
Sub_Test01,27,Active_Noise,Straight,Low Inside,-0.154,0.797,-19.583,-0.316,0.736,-19.583,0.173,-0.14,0.789,-19.587,-0.304,0.808,-19.508,0.183,Ball,Take
Sub_Test01,28,Active_Noise,Straight,Low Inside,-0.143,0.811,-19.61,-0.202,0.874,-19.61,0.086,-0.152,0.8,-19.605,-0.178,0.775,-19.573,0.048,Strike_PassedBall,Take
Sub_Test01,29,Active_Noise,Straight,Low Inside,-0.139,0.777,-19.619,-0.209,0.943,-19.619,0.18,-0.153,0.78,-19.622,-0.193,0.855,-19.589,0.091,Strike_PassedBall,Take
Sub_Test01,30,Active_Noise,Straight,Low Inside,-0.155,0.768,-19.635,-0.344,0.698,-19.635,0.201,-0.155,0.756,-19.627,-0.225,0.739,-19.59,0.081,Ball,Take
Sub_Test01,31,Active_Noise,Straight,Low Inside,-0.142,0.749,-19.594,-0.002,0.734,-19.594,0.141,-0.149,0.742,-19.6,-0.01,0.748,-19.572,0.141,Strike,Take
Sub_Test01,32,Active_Noise,Straight,Low Inside,-0.136,0.723,-19.594,-0.355,0.761,-19.594,0.222,-0.142,0.714,-19.59,-0.219,0.723,-19.529,0.098,Ball_PassedBall,Take
Sub_Test01,33,Active_Noise,Straight,Low Inside,-0.145,0.741,-19.589,0.002,0.616,-19.589,0.193,-0.152,0.726,-19.572,0.002,0.658,-19.573,0.168,Ball,Take
Sub_Test01,34,Active_Noise,Straight,Low Inside Center Ball,-0.129,0.718,-19.587,-0.056,0.776,-19.587,0.093,-0.133,0.699,-19.576,-0.072,0.52,-19.581,0.19,Strike_Missed,Take
Sub_Test01,35,Active_Noise,Straight,Low Inside,-0.13,0.764,-19.596,-0.298,0.603,-19.596,0.233,-0.131,0.757,-19.587,-0.206,0.694,-19.548,0.106,Ball,Take
Sub_Test01,36,Active_Noise,Straight,Low Inside,-0.131,0.736,-19.609,-0.237,0.814,-19.609,0.131,-0.132,0.741,-19.601,-0.21,0.643,-19.584,0.126,Strike_Missed,Take
Sub_Test01,37,Active_Noise,Straight,High Center,0.052,1.262,-19.701,-0.176,1.328,-19.701,0.238,0.057,1.23,-19.689,-0.304,1.36,-19.758,0.389,Strike_Missed,Take
Sub_Test01,38,Active_Noise,Straight,High Center,0.054,1.247,-19.656,-0.157,1.338,-19.656,0.23,0.036,1.21,-19.619,-0.209,1.219,-19.616,0.245,Strike,Take
Sub_Test01,39,Active_Noise,Straight,High Center,0.052,1.227,-19.64,0.056,1.479,-19.64,0.252,0.055,1.198,-19.631,0.028,1.548,-19.809,0.394,Ball_Missed,Take
Sub_Test01,40,Active_Noise,Straight,High Center,0.065,1.283,-19.629,0.07,1.092,-19.629,0.191,0.059,1.212,-19.607,0.017,1.096,-19.59,0.125,Strike_PassedBall,Take
Sub_Test01,41,Active_Noise,Straight,High Center,0.052,1.23,-19.625,0.233,1.273,-19.625,0.186,0.052,1.199,-19.612,0.109,1.218,-19.604,0.061,Strike,Take
Sub_Test01,42,Active_Noise,Straight,High Outside,0.075,1.251,-19.618,0.088,1.244,-19.618,0.015,0.052,1.216,-19.606,0.099,1.203,-19.615,0.049,Strike,Take
Sub_Test01,43,Active_Noise,Straight,High Center,0.013,1.254,-19.629,-0.009,1.445,-19.629,0.192,0.017,1.211,-19.609,0.011,1.342,-19.607,0.132,Ball_PassedBall,Take
Sub_Test01,44,Active_Noise,Straight,High Center,0.016,1.279,-19.621,0.058,1.399,-19.621,0.127,0.003,1.215,-19.591,0.072,1.252,-19.598,0.079,Ball,Take
Sub_Test01,45,Active_Noise,Straight,High Center,-0.005,1.245,-19.589,-0.07,1.113,-19.589,0.147,0.011,1.206,-19.584,-0.086,1.094,-19.494,0.173,Strike_PassedBall,Take
Sub_Test01,46,Active_Noise,Straight,High Center,0.004,1.204,-19.584,-0.043,1.399,-19.584,0.2,0.001,1.19,-19.556,-0.115,1.277,-19.55,0.145,Ball_PassedBall,Take
Sub_Test01,47,Active_Noise,Straight,High Center,-0.001,1.234,-19.569,0.025,1.354,-19.569,0.123,-0.003,1.195,-19.546,0.068,0.987,-19.623,0.232,Ball_Missed,Take
Sub_Test01,48,Active_Noise,Straight,High Center,0.01,1.225,-19.562,0.066,1.459,-19.562,0.24,-0.018,1.206,-19.542,0.077,1.379,-19.603,0.206,Ball,Take
Sub_Test01,49,Active_Noise,Straight,Mid Center,-0.031,1.088,-19.63,0.119,0.898,-19.63,0.241,-0.033,1.071,-19.593,0.094,0.936,-19.516,0.201,Strike,Take
Sub_Test01,50,Active_Noise,Straight,Mid Center,-0.03,1.002,-19.565,-0.01,1.096,-19.565,0.095,-0.037,0.981,-19.563,0.011,1.089,-19.55,0.118,Strike_PassedBall,Take
Sub_Test01,51,Active_Noise,Straight,Mid Center,-0.028,1.059,-19.566,-0.002,1.067,-19.566,0.028,-0.038,1.038,-19.556,-0.013,0.995,-19.507,0.07,Strike,Take
Sub_Test01,52,Active_Noise,Straight,Mid Center,-0.04,1.087,-19.535,0.146,1.159,-19.535,0.199,-0.051,1.054,-19.53,0.098,1.095,-19.531,0.154,Strike,Take
