Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Pitch_Speed_Kmph,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,153.8,High Inside,-0.139,1.236,-20.248,-0.123,1.119,-20.248,0.119,-0.169,1.232,-20.242,-0.150,1.230,-20.212,0.036,Ball_Missed,Take
Sub_Test01,2,Active_Noise,Straight,157.7,High Inside,-0.161,1.229,-20.206,-0.076,1.005,-20.206,0.239,-0.166,1.213,-20.208,-0.175,1.211,-20.204,0.009,Ball,Take
Sub_Test01,3,Active_Noise,Straight,155.1,High Inside,-0.169,1.201,-20.203,-0.307,1.302,-20.203,0.171,-0.179,1.189,-20.200,-0.183,1.188,-20.202,0.004,Ball,Take
Sub_Test01,4,Active_Noise,Straight,155.2,High Inside,-0.181,1.180,-20.194,-0.152,1.009,-20.194,0.174,-0.185,1.167,-20.187,-0.106,1.030,-20.138,0.165,Ball,Take
Sub_Test01,5,Active_Noise,Straight,156.5,High Inside,-0.200,1.171,-20.195,-0.347,1.352,-20.195,0.233,-0.205,1.153,-20.183,-0.232,1.153,-20.175,0.029,Ball_Missed,Take
Sub_Test01,6,Active_Noise,Straight,155.0,High Inside,-0.212,1.145,-20.181,-0.183,1.342,-20.181,0.199,-0.226,1.122,-20.177,-0.226,1.153,-20.184,0.032,Ball_Missed,Take
Sub_Test01,7,Active_Noise,Straight,154.4,High Inside,-0.215,1.127,-20.166,-0.268,0.920,-20.166,0.214,-0.217,1.123,-20.172,-0.250,1.069,-20.015,0.170,Ball_Missed,Take
Sub_Test01,8,Active_Noise,Straight,154.5,High Inside,-0.145,1.144,-20.276,0.063,1.176,-20.276,0.210,-0.167,1.126,-20.267,0.062,1.081,-20.171,0.253,Strike_PassedBall,Take
Sub_Test01,9,Active_Noise,Straight,154.5,High Inside,-0.201,1.166,-20.232,-0.164,0.973,-20.232,0.196,-0.196,1.157,-20.238,-0.171,1.037,-20.122,0.168,Ball_PassedBall,Take
Sub_Test01,10,Active_Noise,Straight,157.6,Mid-High Inside Ball,-0.223,1.196,-20.017,-0.212,1.000,-20.017,0.197,-0.160,0.937,-20.254,-0.073,0.929,-20.089,0.187,Strike,Take
Sub_Test01,11,Active_Noise,Straight,157.9,High Center,-0.067,1.203,-20.222,-0.067,1.284,-20.222,0.081,-0.122,1.189,-20.234,-0.103,1.182,-20.227,0.021,Ball,Take
Sub_Test01,12,Active_Noise,Straight,155.3,High Inside,-0.132,1.200,-20.253,-0.220,1.275,-20.253,0.116,-0.133,1.182,-20.242,-0.148,1.173,-20.230,0.021,Ball,Take
Sub_Test01,13,Active_Noise,Straight,153.6,High Inside,-0.123,1.180,-20.249,0.020,1.356,-20.249,0.227,-0.127,1.169,-20.244,-0.122,1.168,-20.243,0.005,Ball_Missed,Take
Sub_Test01,14,Active_Noise,Straight,154.2,High Inside,-0.138,1.164,-20.237,0.016,1.271,-20.237,0.188,-0.167,1.138,-20.226,-0.043,1.177,-20.182,0.137,Ball,Take
Sub_Test01,15,Active_Noise,Straight,153.3,High Inside,-0.158,1.167,-20.228,-0.243,1.111,-20.228,0.101,-0.165,1.151,-20.212,-0.130,1.130,-20.167,0.060,Ball,Take
Sub_Test01,16,Active_Noise,Straight,155.2,High Inside,-0.167,1.159,-20.229,-0.194,1.142,-20.229,0.031,-0.174,1.159,-20.278,-0.145,1.150,-20.214,0.070,Ball,Take
